"항목","과목 및 유형",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"평  균 (%)","사교육 참여",71.7,69.4,68.8,68.6,68.8,67.8,71.2,72.8,74.8,67.1,75.5
"평  균 (%)","국  어",26.2,22.3,19.8,18.8,17.3,17.7,18.9,19.9,21.3,20.0,24.6
"평  균 (%)","영  어",49.2,46.3,44.0,42.9,40.8,39.1,39.8,40.9,44.1,41.4,49.6
"평  균 (%)","수  학",50.2,47.8,45.8,45.3,42.5,42.3,43.3,44.2,47.2,44.4,50.9
"평  균 (%)","사회, 과학",17.0,14.0,11.5,10.8,9.7,10.4,11.2,11.2,12.0,10.8,14.1
"평  균 (%)","논  술",7.3,6.8,7.3,6.5,6.7,7.6,7.6,8.3,9.2,8.0,10.1
"평  균 (%)","컴퓨터",-,-,-,-,-,-,-,-,2.3,0.9,1.8
"평  균 (%)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,5.3,3.7,4.3
"평  균 (%)","음  악",17.8,15.3,15.3,15.4,15.5,17.9,18.3,17.9,19.1,12.7,17.3
"평  균 (%)","미  술",6.5,5.6,6.6,6.6,6.5,7.7,8.3,9.0,9.9,6.5,9.8
"평  균 (%)","체  육",16.3,14.8,16.3,17.4,19.0,22.1,24.0,25.5,26.7,17.7,24.3
"평  균 (%)","취미·교양",3.4,3.7,3.4,3.3,3.5,4.5,5.3,5.5,5.4,2.9,3.9
"서  울 (%)","사교육 참여",77.0,73.5,75.0,74.4,74.3,73.7,77.6,79.9,80.0,75.0,81.5
"서  울 (%)","국  어",28.9,22.7,19.6,19.7,19.9,19.6,21.5,22.6,23.6,23.7,27.9
"서  울 (%)","영  어",54.7,50.0,50.2,48.3,47.0,45.0,46.3,48.2,51.6,49.9,57.6
"서  울 (%)","수  학",54.3,51.1,49.1,49.4,46.9,46.0,48.5,49.7,51.6,51.3,57.1
"서  울 (%)","사회, 과학",17.0,14.6,10.4,10.2,10.7,11.2,12.6,12.6,13.8,13.4,16.2
"서  울 (%)","논  술",9.8,9.4,10.5,9.2,9.1,9.3,10.1,10.5,11.6,11.6,14.2
"서  울 (%)","컴퓨터",-,-,-,-,-,-,-,-,2.9,0.9,2.2
"서  울 (%)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,6.5,4.4,5.2
"서  울 (%)","음  악",21.4,17.1,17.3,18.6,17.8,21.0,21.9,22.6,23.5,16.6,20.8
"서  울 (%)","미  술",7.9,7.0,9.0,8.7,8.4,10.1,11.0,12.6,12.5,8.5,14.1
"서  울 (%)","체  육",19.0,18.4,19.4,20.4,22.9,25.1,27.6,30.4,30.8,19.4,27.3
"서  울 (%)","취미·교양",3.5,4.3,3.8,3.7,3.9,5.5,6.0,6.3,6.0,2.9,4.4
