"항목","특성별",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"초등학교 (억원)","서울",19544,15745,16006,16481,16017,15625,17532,18595,19529,17232,22693
"초등학교 (억원)","광역시",19294,19608,18483,17682,17616,18259,19631,19339,21651,17329,23953
"초등학교 (억원)","중소도시",39522,35406,34613,32902,34845,36250,34299,38950,44380,32422,45670
"초등학교 (억원)","읍면지역",12101,6794,8273,8884,6808,7305,9849,8647,10036,9124,12963
"초등학교 (억원)","국어",6337,5807,4747,4310,4265,4030,4558,4808,5098,5173,6394
"초등학교 (억원)","영어",30927,26350,25918,24804,22886,21631,21354,22894,25797,22951,30837
"초등학교 (억원)","수학",16483,14846,14974,14682,14288,12917,13789,14504,16591,15805,19962
"초등학교 (억원)","사회, 과학",4040,3407,2739,2395,2386,2312,2673,2567,2611,2245,2906
"초등학교 (억원)","논술",3248,2688,3139,2679,2857,3267,3244,3881,4201,3704,4875
"초등학교 (억원)","컴퓨터",-,-,-,-,-,-,-,-,728,308,728
"초등학교 (억원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,1519,989,1275
"초등학교 (억원)","음악",12669,9957,10308,10455,10393,12249,12406,11740,12982,8641,13053
"초등학교 (억원)","미술",3261,2960,3494,3423,3479,3912,4229,4597,5281,3375,5686
"초등학교 (억원)","체육",10130,8557,9397,10809,11869,13676,15060,16024,18027,11270,17373
"초등학교 (억원)","취미·교양",1371,1436,1363,1342,1597,2118,2544,2678,2524,1398,1976
"중학교 (억원)","서울",12614,12870,12754,12012,11222,10657,11361,10764,11535,12234,13251
"중학교 (억원)","광역시",15019,15414,14441,13544,12574,11782,11497,12236,12104,12668,15049
"중학교 (억원)","중소도시",26490,27021,25349,24697,23696,21583,21292,22059,23651,23366,28156
"중학교 (억원)","읍면지역",5884,5857,5286,5425,4892,4080,4147,4913,5265,5675,7023
"중학교 (억원)","국어",4977,4044,3691,3043,2701,2456,2527,2559,2615,3018,4057
"중학교 (억원)","영어",21706,23068,21808,21349,19918,17659,17383,17856,18859,19413,22550
"중학교 (억원)","수학",22169,23898,22713,22484,20924,18890,18367,19214,20112,20927,24076
"중학교 (억원)","사회, 과학",5015,3622,3100,2757,2563,2423,2354,2356,2509,2537,3354
"중학교 (억원)","논술",1077,1172,1108,1021,1028,1081,1126,1347,1295,1560,1912
"중학교 (억원)","컴퓨터",-,-,-,-,-,-,-,-,218,190,277
"중학교 (억원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,583,425,493
"중학교 (억원)","음악",1917,2062,1740,1663,1660,1654,1933,1592,1896,1552,1614
"중학교 (억원)","미술",522,549,731,653,636,539,853,768,856,755,907
"중학교 (억원)","체육",1355,1486,1713,1740,1763,2225,2355,2815,2594,2686,3196
"중학교 (억원)","취미·교양",444,494,630,500,646,631,724,807,864,735,886
"고등학교 (억원)","서울",15860,14921,14869,14278,14184,14981,15124,15080,15789,16292,16445
"고등학교 (억원)","광역시",12709,13003,13163,12492,12269,12970,13812,13446,14454,14384,14830
"고등학교 (억원)","중소도시",19566,21087,19470,20224,20344,23468,23162,26108,26287,27354,28180
"고등학교 (억원)","읍면지역",2664,2668,3252,3677,3878,3646,4997,4714,5287,5452,5945
"고등학교 (억원)","국어",4344,4118,4199,3964,3882,4832,5491,6488,7300,7823,8820
"고등학교 (억원)","영어",15053,15184,15591,15344,15544,16154,15513,15979,16725,17544,18010
"고등학교 (억원)","수학",20372,21457,20075,20516,20720,21830,21775,21762,22211,23228,23318
"고등학교 (억원)","사회, 과학",1779,1962,1309,1647,1753,2290,2393,2821,3383,4004,4206
"고등학교 (억원)","논술",1220,1451,1487,1084,1103,1042,904,802,1029,730,731
"고등학교 (억원)","컴퓨터",-,-,-,-,-,-,-,-,208,235,256
"고등학교 (억원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,457,414,361
"고등학교 (억원)","음악",2706,2122,2520,2552,1871,2342,2312,3004,2828,2239,2188
"고등학교 (억원)","미술",2366,2254,2624,2528,2471,2901,2808,3353,2982,2829,3322
"고등학교 (억원)","체육",1041,914,978,985,1254,1262,2133,1813,1903,1905,1630
"고등학교 (억원)","취미·교양",893,1177,1241,1299,1091,1223,1805,1516,1536,1254,1269
"일반고 (억원)","서울",15250,14309,14438,13609,13488,14089,14573,14533,15152,15425,15797
"일반고 (억원)","광역시",11795,12261,12664,12066,11831,12482,13233,12961,13907,13782,13999
"일반고 (억원)","중소도시",18318,20100,18866,19552,19722,22560,22204,25281,25407,26316,27206
"일반고 (억원)","읍면지역",2278,2413,3078,3529,3672,3501,4800,4405,4919,5212,5636
"일반고 (억원)","국어",4170,4029,4102,3897,3798,4699,5412,6407,7182,7631,8677
"일반고 (억원)","영어",14313,14603,15165,14873,15115,15627,15100,15596,16239,17013,17431
"일반고 (억원)","수학",19784,20938,19693,20023,20305,21371,21290,21379,21766,22693,22724
"일반고 (억원)","사회, 과학",1732,1946,1278,1628,1738,2252,2362,2800,3348,3971,4151
"일반고 (억원)","논술",1206,1445,1484,1081,1101,1028,882,774,1017,690,705
"일반고 (억원)","컴퓨터",-,-,-,-,-,-,-,-,122,130,148
"일반고 (억원)","제2외국어, 한문 등",-,-,-,-,-,-,-,-,397,380,319
"일반고 (억원)","음악",2479,1900,2426,2448,1769,2255,2187,2892,2700,2144,2056
"일반고 (억원)","미술",2009,1978,2513,2382,2394,2523,2709,3085,2844,2553,3026
"일반고 (억원)","체육",795,767,852,861,1045,1076,1917,1502,1554,1558,1434
"일반고 (억원)","취미·교양",548,878,1080,1128,896,1078,1638,1362,1346,1075,1085
