연도,과목,보통이상,기초이하,우수학력,보통학력,기초학력,기초학력 미달
2011,국어,85.1,14.9,33.0,52.1,12.9,2.0
2012,국어,83.5,16.5,29.6,53.9,14.4,2.1
2013,국어,83.80000000000001,16.3,31.1,52.7,13.5,2.8
2014,국어,86.5,13.5,33.7,52.8,12.2,1.3
2015,국어,81.2,18.8,28.3,52.9,16.2,2.6
2016,국어,84.0,16.0,33.0,51.0,12.8,3.2
2017,국어,76.19999999999999,23.8,32.9,43.3,19.1,4.7
2018,국어,81.6,18.4,37.0,44.6,15.0,3.4
2019,국어,77.5,22.5,28.8,48.7,18.5,4.0
2020,국어,69.7,30.2,23.3,46.4,23.4,6.8
2011,수학,80.9,19.200000000000003,23.0,57.9,14.8,4.4
2012,수학,81.1,18.9,24.4,56.7,14.6,4.3
2013,수학,85.2,14.7,22.0,63.2,10.2,4.5
2014,수학,84.5,15.5,22.0,62.5,10.1,5.4
2015,수학,80.3,19.7,28.5,51.8,14.2,5.5
2016,수학,78.2,21.8,30.6,47.6,16.5,5.3
2017,수학,76.9,23.1,29.4,47.5,13.9,9.2
2018,수학,70.4,29.6,28.8,41.6,19.2,10.4
2019,수학,65.5,34.5,29.3,36.2,25.5,9.0
2020,수학,60.8,39.2,29.0,31.8,25.7,13.5
2011,영어,83.30000000000001,16.6,32.7,50.6,13.0,3.6
2012,영어,84.3,15.799999999999999,33.3,51.0,13.2,2.6
2013,영어,85.2,14.8,33.2,52.0,12.1,2.7
2014,영어,84.6,15.3,32.8,51.8,9.4,5.9
2015,영어,83.9,16.1,36.5,47.4,11.7,4.4
2016,영어,86.0,14.0,41.6,44.4,8.9,5.1
2017,영어,82.5,17.5,36.8,45.7,13.7,3.8
2018,영어,80.3,19.6,37.3,43.0,13.4,6.2
2019,영어,78.8,21.200000000000003,40.0,38.8,17.6,3.6
2020,영어,76.7,23.299999999999997,37.1,39.6,14.7,8.6
