,교급,기준,연도,월평균,총액
0,초등학교,서울,2011,30.4,19544
1,중학교,서울,2011,31.8,12614
2,고등학교,서울,2011,37.4,15860
3,일반고,서울,2011,42.7,15250
4,초등학교,서울,2012,26.1,15745
5,중학교,서울,2012,34.0,12870
6,고등학교,서울,2012,36.1,14921
7,일반고,서울,2012,41.1,14309
8,초등학교,서울,2013,28.4,16006
9,중학교,서울,2013,34.9,12754
10,고등학교,서울,2013,37.1,14869
11,일반고,서울,2013,42.7,14438
12,초등학교,서울,2014,30.0,16481
13,중학교,서울,2014,34.9,12012
14,고등학교,서울,2014,37.1,14278
15,일반고,서울,2014,42.1,13609
16,초등학교,서울,2015,29.6,16017
17,중학교,서울,2015,35.5,11222
18,고등학교,서울,2015,38.3,14184
19,일반고,서울,2015,43.6,13488
20,초등학교,서울,2016,29.9,15625
21,중학교,서울,2016,37.0,10657
22,고등학교,서울,2016,41.7,14981
23,일반고,서울,2016,47.0,14089
24,초등학교,서울,2017,34.1,17532
25,중학교,서울,2017,41.7,11361
26,고등학교,서울,2017,44.5,15124
27,일반고,서울,2017,51.8,14573
28,초등학교,서울,2018,36.5,18595
29,중학교,서울,2018,41.5,10764
30,고등학교,서울,2018,48.4,15080
31,일반고,서울,2018,56.6,14533
32,초등학교,서울,2019,38.5,19529
33,중학교,서울,2019,46.3,11535
34,고등학교,서울,2019,55.6,15789
35,일반고,서울,2019,65.2,15152
36,초등학교,서울,2020,35.1,17232
37,중학교,서울,2020,49.2,12234
38,고등학교,서울,2020,60.5,16292
39,일반고,서울,2020,69.8,15425
40,초등학교,서울,2021,47.3,22693
41,중학교,서울,2021,52.6,13251
42,고등학교,서울,2021,63.4,16445
43,일반고,서울,2021,73.5,15797
