,기준,과목,연도,참여율
0,평균,사교육참여,2011,71.7
12,서울,사교육참여,2011,77.0
24,평균,사교육참여,2012,69.4
36,서울,사교육참여,2012,73.5
48,평균,사교육참여,2013,68.8
60,서울,사교육참여,2013,75.0
72,평균,사교육참여,2014,68.6
84,서울,사교육참여,2014,74.4
96,평균,사교육참여,2015,68.8
108,서울,사교육참여,2015,74.3
120,평균,사교육참여,2016,67.8
132,서울,사교육참여,2016,73.7
144,평균,사교육참여,2017,71.2
156,서울,사교육참여,2017,77.6
168,평균,사교육참여,2018,72.8
180,서울,사교육참여,2018,79.9
192,평균,사교육참여,2019,74.8
204,서울,사교육참여,2019,80.0
216,평균,사교육참여,2020,67.1
228,서울,사교육참여,2020,75.0
240,평균,사교육참여,2021,75.5
252,서울,사교육참여,2021,81.5
