학력수준,연도,과목,비율
우수학력,2011,국어,31.0
우수학력,2012,국어,31.1
우수학력,2013,국어,30.0
우수학력,2014,국어,26.5
우수학력,2015,국어,30.2
우수학력,2016,국어,37.5
우수학력,2017,국어,34.1
우수학력,2018,국어,31.6
우수학력,2019,국어,39.7
우수학력,2020,국어,36.5
보통학력,2011,국어,50.3
보통학력,2012,국어,52.5
보통학력,2013,국어,56.2
보통학력,2014,국어,60.8
보통학력,2015,국어,52.3
보통학력,2016,국어,52.6
보통학력,2017,국어,51.1
보통학력,2018,국어,49.7
보통학력,2019,국어,43.1
보통학력,2020,국어,38.8
기초학력,2011,국어,17.2
기초학력,2012,국어,15.2
기초학력,2013,국어,12.6
기초학력,2014,국어,10.7
기초학력,2015,국어,14.8
기초학력,2016,국어,7.9
기초학력,2017,국어,12.3
기초학력,2018,국어,14.3
기초학력,2019,국어,13.0
기초학력,2020,국어,18.2
기초학력 미달,2011,국어,1.4
기초학력 미달,2012,국어,1.0
기초학력 미달,2013,국어,1.2
기초학력 미달,2014,국어,2.0
기초학력 미달,2015,국어,2.6
기초학력 미달,2016,국어,2.0
기초학력 미달,2017,국어,2.5
기초학력 미달,2018,국어,4.4
기초학력 미달,2019,국어,4.0
기초학력 미달,2020,국어,6.4
우수학력,2011,수학,20.6
우수학력,2012,수학,16.6
우수학력,2013,수학,13.0
우수학력,2014,수학,12.8
우수학력,2015,수학,18.8
우수학력,2016,수학,19.9
우수학력,2017,수학,18.5
우수학력,2018,수학,22.7
우수학력,2019,수학,17.9
우수학력,2020,수학,17.7
보통학력,2011,수학,44.0
보통학력,2012,수학,50.0
보통학력,2013,수학,53.4
보통학력,2014,수학,53.9
보통학력,2015,수학,47.4
보통학력,2016,수학,48.4
보통학력,2017,수학,49.9
보통학력,2018,수학,39.6
보통학력,2019,수학,43.4
보통학력,2020,수학,40.1
기초학력,2011,수학,31.5
기초학력,2012,수학,29.8
기초학력,2013,수학,28.5
기초학력,2014,수학,27.5
기초학력,2015,수학,29.2
기초학력,2016,수학,26.8
기초학력,2017,수학,24.7
기초학력,2018,수학,26.6
기초학력,2019,수학,26.9
기초학력,2020,수학,28.9
기초학력 미달,2011,수학,4.0
기초학력 미달,2012,수학,3.4
기초학력 미달,2013,수학,5.1
기초학력 미달,2014,수학,5.7
기초학력 미달,2015,수학,4.6
기초학력 미달,2016,수학,4.9
기초학력 미달,2017,수학,6.9
기초학력 미달,2018,수학,11.1
기초학력 미달,2019,수학,11.8
기초학력 미달,2020,수학,13.4
우수학력,2011,영어,32.2
우수학력,2012,영어,27.9
우수학력,2013,영어,28.1
우수학력,2014,영어,30.3
우수학력,2015,영어,26.2
우수학력,2016,영어,28.0
우수학력,2017,영어,24.4
우수학력,2018,영어,20.5
우수학력,2019,영어,24.2
우수학력,2020,영어,29.1
보통학력,2011,영어,38.5
보통학력,2012,영어,45.9
보통학력,2013,영어,46.9
보통학력,2014,영어,44.9
보통학력,2015,영어,44.2
보통학력,2016,영어,46.7
보통학력,2017,영어,49.0
보통학력,2018,영어,45.2
보통학력,2019,영어,48.5
보통학력,2020,영어,34.8
기초학력,2011,영어,28.0
기초학력,2012,영어,23.9
기초학력,2013,영어,21.7
기초학력,2014,영어,21.4
기초학력,2015,영어,26.2
기초학력,2016,영어,21.3
기초학력,2017,영어,23.6
기초학력,2018,영어,28.9
기초학력,2019,영어,24.0
기초학력,2020,영어,28.9
기초학력 미달,2011,영어,1.3
기초학력 미달,2012,영어,2.2
기초학력 미달,2013,영어,3.3
기초학력 미달,2014,영어,3.3
기초학력 미달,2015,영어,3.4
기초학력 미달,2016,영어,4.0
기초학력 미달,2017,영어,3.1
기초학력 미달,2018,영어,5.3
기초학력 미달,2019,영어,3.3
기초학력 미달,2020,영어,7.1
